,Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,latitude,longitude
0,Finland,Western Europe,2023,7.804,1.888,1.585,0.535,0.772,0.126,0.535,61.92411,25.748151
1,Denmark,Western Europe,2023,7.586,1.949,1.548,0.537,0.734,0.208,0.525,56.26392,9.501785
2,Iceland,Western Europe,2023,7.53,1.926,1.62,0.559,0.738,0.25,0.187,64.963051,-19.020835
3,Israel,Middle East and North Africa,2023,7.473,1.833,1.521,0.577,0.569,0.124,0.158,31.046051,34.851612
4,Netherlands,Western Europe,2023,7.403,1.942,1.488,0.545,0.672,0.251,0.394,52.132633,5.291266
5,Sweden,Western Europe,2023,7.395,1.921,1.51,0.562,0.754,0.225,0.52,60.128161,18.643501
6,Norway,Western Europe,2023,7.315,1.994,1.521,0.544,0.752,0.212,0.463,60.472024,8.468946
7,Switzerland,Western Europe,2023,7.24,2.022,1.463,0.582,0.678,0.151,0.475,46.818188,8.227512
8,Luxembourg,Western Europe,2023,7.228,2.2,1.357,0.549,0.71,0.149,0.418,49.815273,6.129583
9,New Zealand,North America and ANZ,2023,7.123,1.842,1.544,0.513,0.672,0.23,0.471,-40.900557,174.885971
10,Austria,Western Europe,2023,7.097,1.927,1.382,0.535,0.63,0.191,0.31,47.516231,14.550072
11,Australia,North America and ANZ,2023,7.095,1.899,1.497,0.532,0.677,0.242,0.31,-25.274398,133.775136
12,Canada,North America and ANZ,2023,6.961,1.881,1.484,0.541,0.656,0.218,0.364,56.130366,-106.346771
13,Ireland,Western Europe,2023,6.911,2.152,1.425,0.539,0.656,0.186,0.409,53.41291,-8.24389
14,United States of America,North America and ANZ,2023,6.894,1.98,1.46,0.39,0.557,0.21,0.172,37.09024,-95.712891
15,Germany,Western Europe,2023,6.892,1.919,1.401,0.539,0.618,0.153,0.365,51.165691,10.451526
16,Belgium,Western Europe,2023,6.859,1.907,1.449,0.528,0.59,0.137,0.273,50.503887,4.469936
17,United Kingdom,Western Europe,2023,6.796,1.857,1.366,0.511,0.626,0.272,0.34,55.378051,-3.435973
18,Lithuania,Central and Eastern Europe,2023,6.763,1.808,1.511,0.432,0.487,0.059,0.089,55.169438,23.881275
19,France,Western Europe,2023,6.661,1.856,1.433,0.566,0.582,0.083,0.27,46.227638,2.213749
20,Slovenia,Central and Eastern Europe,2023,6.65,1.815,1.539,0.532,0.707,0.144,0.113,46.151241,14.995463
21,Costa Rica,Latin America and Caribbean,2023,6.609,1.587,1.34,0.503,0.683,0.099,0.116,9.748917,-83.753428
22,Romania,Central and Eastern Europe,2023,6.589,1.726,1.28,0.423,0.631,0.044,0.0,45.943161,24.96676
23,Singapore,Southeast Asia,2023,6.587,2.168,1.354,0.607,0.66,0.17,0.561,1.352083,103.819836
24,United Arab Emirates,Middle East and North Africa,2023,6.571,2.015,1.223,0.401,0.745,0.188,0.247,23.424076,53.847818
25,Taiwan,East Asia,2023,6.535,1.89,1.372,0.492,0.562,0.067,0.178,23.69781,120.960515
26,Uruguay,Latin America and Caribbean,2023,6.494,1.617,1.445,0.435,0.683,0.102,0.254,-32.522779,-55.765835
27,Slovakia,Central and Eastern Europe,2023,6.469,1.731,1.544,0.472,0.494,0.128,0.022,48.669026,19.699024
28,Saudi Arabia,Middle East and North Africa,2023,6.463,1.861,1.37,0.351,0.682,0.093,0.17,23.885942,45.079162
29,Estonia,Central and Eastern Europe,2023,6.455,1.798,1.526,0.494,0.728,0.153,0.372,58.595272,25.013607
30,Spain,Western Europe,2023,6.436,1.798,1.491,0.567,0.533,0.101,0.157,40.463667,-3.74922
31,Italy,Western Europe,2023,6.405,1.832,1.365,0.559,0.438,0.097,0.063,41.87194,12.56738
32,Kosovo,Central and Eastern Europe,2023,6.368,1.374,1.269,0.372,0.639,0.275,0.045,42.602636,20.902977
33,Chile,Latin America and Caribbean,2023,6.334,1.645,1.384,0.511,0.546,0.131,0.076,-35.675147,-71.542969
34,Mexico,Latin America and Caribbean,2023,6.33,1.55,1.169,0.389,0.632,0.086,0.115,23.634501,-102.552784
35,Malta,Western Europe,2023,6.3,1.841,1.468,0.547,0.671,0.2,0.143,35.937496,14.375416
36,Panama,Latin America and Caribbean,2023,6.265,1.714,1.402,0.475,0.63,0.065,0.036,8.537981,-80.782127
37,Poland,Central and Eastern Europe,2023,6.26,1.767,1.474,0.477,0.511,0.12,0.139,51.919438,19.145136
38,Nicaragua,Latin America and Caribbean,2023,6.259,1.109,1.292,0.385,0.66,0.148,0.218,12.865416,-85.207229
39,Latvia,Central and Eastern Europe,2023,6.213,1.737,1.505,0.405,0.58,0.107,0.071,56.879635,24.603189
40,Bahrain,Middle East and North Africa,2023,6.173,1.883,1.269,0.389,0.748,0.199,0.138,25.930414,50.637772
41,Guatemala,Latin America and Caribbean,2023,6.15,1.287,1.188,0.31,0.631,0.106,0.066,15.783471,-90.230759
42,Kazakhstan,Commonwealth of Independent States,2023,6.144,1.664,1.491,0.389,0.628,0.136,0.149,48.019573,66.923684
43,Serbia,Central and Eastern Europe,2023,6.144,1.552,1.343,0.424,0.617,0.246,0.081,44.016521,21.005859
44,Cyprus,Western Europe,2023,6.13,1.824,1.224,0.58,0.455,0.104,0.05,35.126413,33.429859
45,Japan,East Asia,2023,6.129,1.825,1.396,0.622,0.556,0.009,0.207,36.204824,138.252924
46,Croatia,Central and Eastern Europe,2023,6.125,1.727,1.455,0.475,0.5,0.087,0.003,45.1,15.2
47,Brazil,Latin America and Caribbean,2023,6.125,1.454,1.25,0.387,0.558,0.131,0.137,-14.235004,-51.92528
48,El Salvador,Latin America and Caribbean,2023,6.122,1.278,1.044,0.383,0.713,0.079,0.222,13.794185,-88.89653
49,Hungary,Central and Eastern Europe,2023,6.041,1.754,1.519,0.435,0.501,0.105,0.065,47.162494,19.503304
50,Argentina,Latin America and Caribbean,2023,6.024,1.59,1.388,0.427,0.587,0.088,0.082,-38.416097,-63.616672
51,Honduras,Latin America and Caribbean,2023,6.023,1.115,1.072,0.341,0.613,0.189,0.062,15.199999,-86.241905
52,Uzbekistan,Commonwealth of Independent States,2023,6.014,1.227,1.347,0.375,0.74,0.26,0.208,41.377491,64.585262
53,Malaysia,Southeast Asia,2023,6.012,1.665,1.155,0.385,0.659,0.222,0.122,4.210484,101.975766
54,Portugal,Western Europe,2023,5.968,1.758,1.356,0.537,0.693,0.031,0.037,39.399872,-8.224454
55,South Korea,East Asia,2023,5.951,1.853,1.188,0.603,0.446,0.112,0.163,35.907757,127.766922
56,Greece,Western Europe,2023,5.931,1.708,1.247,0.535,0.248,0.008,0.097,39.074208,21.824312
57,Mauritius,Sub-Saharan Africa,2023,5.902,1.589,1.382,0.336,0.574,0.121,0.11,-20.348404,57.552152
58,Thailand,Southeast Asia,2023,5.843,1.515,1.344,0.461,0.624,0.291,0.013,15.870032,100.992541
59,Mongolia,East Asia,2023,5.84,1.379,1.494,0.244,0.425,0.239,0.058,46.862496,103.846656
60,Kyrgyzstan,Commonwealth of Independent States,2023,5.825,1.061,1.439,0.417,0.735,0.234,0.018,41.20438,74.766098
61,Moldova,Central and Eastern Europe,2023,5.819,1.425,1.302,0.375,0.61,0.093,0.02,47.411631,28.369885
62,China,East Asia,2023,5.818,1.51,1.249,0.468,0.666,0.115,0.145,35.86166,104.195397
63,Vietnam,Southeast Asia,2023,5.763,1.349,1.212,0.381,0.741,0.134,0.122,14.058324,108.277199
64,Paraguay,Latin America and Caribbean,2023,5.738,1.428,1.427,0.392,0.678,0.148,0.062,-23.442503,-58.443832
65,Montenegro,Central and Eastern Europe,2023,5.722,1.537,1.385,0.424,0.563,0.17,0.061,42.708678,19.37439
66,Jamaica,Latin America and Caribbean,2023,5.703,1.305,1.329,0.411,0.587,0.079,0.039,18.109581,-77.297508
67,Bolivia,Latin America and Caribbean,2023,5.684,1.24,1.187,0.329,0.648,0.103,0.06,-16.290154,-63.588653
68,Russia,Central and Eastern Europe,2023,5.661,1.68,1.383,0.366,0.449,0.12,0.091,61.52401,105.318756
69,Bosnia and Herzegovina,Central and Eastern Europe,2023,5.633,1.467,1.361,0.429,0.485,0.247,0.008,43.915886,17.679076
70,Colombia,Latin America and Caribbean,2023,5.63,1.455,1.213,0.486,0.562,0.08,0.068,4.570868,-74.297333
71,Dominican Republic,Latin America and Caribbean,2023,5.569,1.536,1.227,0.351,0.623,0.083,0.195,18.735693,-70.162651
72,Ecuador,Latin America and Caribbean,2023,5.559,1.343,1.173,0.476,0.56,0.079,0.069,-1.831239,-78.183406
73,Peru,Latin America and Caribbean,2023,5.526,1.39,1.153,0.499,0.549,0.073,0.027,-9.189967,-75.015152
74,Philippines,Southeast Asia,2023,5.523,1.238,1.108,0.286,0.714,0.104,0.141,12.879721,121.774017
75,Bulgaria,Central and Eastern Europe,2023,5.466,1.635,1.457,0.408,0.557,0.106,0.013,42.733883,25.48583
76,Nepal,South Asia,2023,5.36,0.979,1.027,0.281,0.567,0.215,0.104,28.394857,84.124008
77,Armenia,Central and Eastern Europe,2023,5.342,1.466,1.134,0.443,0.551,0.053,0.16,40.069099,45.038189
78,Tajikistan,Commonwealth of Independent States,2023,5.33,0.972,1.248,0.291,0.599,0.104,0.292,38.861034,71.276093
79,Algeria,Middle East and North Africa,2023,5.329,1.353,1.298,0.409,0.252,0.073,0.152,28.033886,1.659626
80,Albania,Central and Eastern Europe,2023,5.277,1.449,0.951,0.48,0.549,0.133,0.037,41.153332,20.168331
81,Indonesia,Southeast Asia,2023,5.277,1.384,1.169,0.314,0.663,0.422,0.038,-0.789275,113.921327
82,South Africa,Sub-Saharan Africa,2023,5.275,1.417,1.428,0.149,0.464,0.09,0.019,-30.559482,22.937506
83,Venezuela,Latin America and Caribbean,2023,5.211,0.0,1.257,0.341,0.369,0.205,0.084,6.42375,-66.58973
84,Laos,Southeast Asia,2023,5.111,1.232,0.853,0.257,0.715,0.185,0.162,19.85627,102.495496
85,Georgia,Central and Eastern Europe,2023,5.109,1.477,0.947,0.366,0.539,0.0,0.201,42.315407,43.356892
86,Guinea,Sub-Saharan Africa,2023,5.072,0.844,0.776,0.072,0.369,0.204,0.102,9.945587,-9.696645
87,Ukraine,Central and Eastern Europe,2023,5.071,1.358,1.354,0.355,0.551,0.265,0.016,48.379433,31.16558
88,Gabon,Sub-Saharan Africa,2023,5.035,1.438,1.021,0.183,0.346,0.036,0.102,-0.803689,11.609444
89,Nigeria,Sub-Saharan Africa,2023,4.981,1.065,1.007,0.092,0.448,0.176,0.013,9.081999,8.675277
90,Cameroon,Sub-Saharan Africa,2023,4.973,0.965,0.871,0.118,0.405,0.144,0.059,7.369722,12.354722
91,Mozambique,Sub-Saharan Africa,2023,4.954,0.57,0.885,0.0,0.625,0.161,0.192,-18.665695,35.529562
92,Iraq,Middle East and North Africa,2023,4.941,1.281,0.953,0.324,0.351,0.134,0.038,33.223191,43.679291
93,Morocco,Middle East and North Africa,2023,4.903,1.236,0.535,0.337,0.54,0.013,0.085,31.791702,-7.09262
94,Iran,Middle East and North Africa,2023,4.876,1.465,1.102,0.411,0.281,0.229,0.13,32.427908,53.688046
95,Senegal,Sub-Saharan Africa,2023,4.855,0.943,0.727,0.231,0.519,0.142,0.06,14.497401,-14.452362
96,Mauritania,Sub-Saharan Africa,2023,4.724,1.099,0.764,0.244,0.32,0.13,0.195,21.00789,-10.940835
97,Burkina Faso,Sub-Saharan Africa,2023,4.638,0.768,0.814,0.107,0.419,0.188,0.113,12.238333,-1.561593
98,Namibia,Sub-Saharan Africa,2023,4.631,1.289,1.126,0.145,0.383,0.069,0.071,-22.95764,18.49041
99,Ghana,Sub-Saharan Africa,2023,4.605,1.101,0.756,0.197,0.526,0.211,0.035,7.946527,-1.023194
100,Pakistan,South Asia,2023,4.555,1.081,0.657,0.158,0.511,0.141,0.102,30.375321,69.345116
101,Niger,Sub-Saharan Africa,2023,4.501,0.561,0.628,0.137,0.54,0.154,0.14,17.607789,8.081666
102,Tunisia,Middle East and North Africa,2023,4.497,1.333,0.981,0.422,0.259,0.022,0.016,33.886917,9.537499
103,Kenya,Sub-Saharan Africa,2023,4.487,1.051,0.881,0.19,0.418,0.291,0.055,-0.023559,37.906193
104,Sri Lanka,South Asia,2023,4.442,1.422,1.224,0.426,0.539,0.12,0.086,7.873054,80.771797
105,Uganda,Sub-Saharan Africa,2023,4.432,0.785,1.144,0.201,0.425,0.197,0.051,1.373333,32.290275
106,Chad,Sub-Saharan Africa,2023,4.397,0.622,0.962,0.043,0.393,0.255,0.088,15.454166,18.732207
107,Cambodia,Southeast Asia,2023,4.393,1.025,1.024,0.283,0.768,0.176,0.051,12.565679,104.990963
108,Benin,Sub-Saharan Africa,2023,4.374,0.924,0.242,0.124,0.481,0.114,0.253,9.30769,2.315834
109,Bangladesh,South Asia,2023,4.282,1.133,0.513,0.355,0.617,0.139,0.165,23.684994,90.356331
110,Gambia,Sub-Saharan Africa,2023,4.279,0.761,0.614,0.174,0.286,0.332,0.033,13.443182,-15.310139
111,Mali,Sub-Saharan Africa,2023,4.198,0.763,0.637,0.106,0.441,0.121,0.059,17.570692,-3.996166
112,Egypt,Middle East and North Africa,2023,4.17,1.377,0.972,0.326,0.467,0.038,0.25,26.820553,30.802498
113,Togo,Sub-Saharan Africa,2023,4.137,0.77,0.642,0.161,0.367,0.149,0.136,8.619543,0.824782
114,Jordan,Middle East and North Africa,2023,4.12,1.292,0.98,0.438,0.517,0.056,0.173,30.585164,36.238414
115,Ethiopia,Sub-Saharan Africa,2023,4.091,0.793,1.114,0.25,0.451,0.283,0.101,9.145,40.489673
116,Liberia,Sub-Saharan Africa,2023,4.042,0.628,0.644,0.141,0.471,0.219,0.071,6.428055,-9.429499
117,India,South Asia,2023,4.036,1.159,0.674,0.252,0.685,0.175,0.111,20.593684,78.96288
118,Madagascar,Sub-Saharan Africa,2023,4.019,0.632,0.779,0.178,0.187,0.177,0.134,-18.766947,46.869107
119,Zambia,Sub-Saharan Africa,2023,3.982,0.914,0.89,0.095,0.545,0.189,0.08,-13.133897,27.849332
120,Tanzania,Sub-Saharan Africa,2023,3.694,0.836,0.787,0.214,0.607,0.234,0.269,-6.369028,34.888822
121,Comoros,Sub-Saharan Africa,2023,3.545,0.914,0.327,0.215,0.117,0.129,0.145,-11.875001,43.872219
122,Malawi,Sub-Saharan Africa,2023,3.495,0.637,0.479,0.189,0.49,0.139,0.129,-13.254308,34.301525
123,Botswana,Sub-Saharan Africa,2023,3.435,1.471,1.041,0.087,0.48,0.021,0.071,-22.328474,24.684866
124,Zimbabwe,Sub-Saharan Africa,2023,3.204,0.758,0.881,0.069,0.363,0.112,0.117,-19.015438,29.154857
